"filename", "language", "ShaderLab", "C#", "HLSL", "JSON", "Markdown", "XML", "YAML", "PowerShell", "Python", "Properties", "comment", "blank", "total"
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\BuildAssets\BuildApp.cs", "C#", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 130
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\ComputeShaders\DistanceMap.compute", "HLSL", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 4, 39
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\ComputeShaders\FIMBuffer.compute", "HLSL", 0, 0, 506, 0, 0, 0, 0, 0, 0, 0, 4, 40, 550
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\ComputeShaders\LumiPathVolumeRendering.compute", "HLSL", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 24, 9, 109
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\ComputeShaders\MZSThining.compute", "HLSL", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 66, 7, 145
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\ComputeShaders\NewDistanceMap.compute", "HLSL", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 4, 51
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\ComputeShaders\SHCommon.hlsl", "HLSL", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 10, 21, 121
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\ComputeShaders\SphericalHarmonic.compute", "HLSL", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 4, 11, 85
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\DataControllerTest.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 68
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\DataSourceDictionaryTest.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 25
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\DataSourceDynamicList.cs", "C#", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 30, 22, 128
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\DataSourceImageUrlTest.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 59
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\DataSourceJsonTest.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 45
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\DataSourceJsonThemeTest.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 63
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\DataSourceReflectionListTest.cs", "C#", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 24, 30, 197
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\DataSourceReflectionTest.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6, 52
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\DataSourceTest.cs", "C#", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 117
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\DataSourceThemeTest.cs", "C#", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 83
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\ThemeProfile.cs", "C#", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42, 206
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Data Binding Example\Scripts\ThemeSetter.cs", "C#", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 60
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\InsprectorButton\Editor\InspectorButton.cs", "C#", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\InsprectorButton\InspectorButtonAttribute.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Materials\SHCommon.hlsl", "HLSL", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 10, 21, 121
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Packages\MathNet.Numerics.5.0.0\lib\netstandard2.0\MathNet.Numerics.xml", "XML", 0, 0, 0, 0, 0, 53714, 0, 0, 0, 0, 0, 20, 53734
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\FusionAddressables\FusionAddressablePrefabsPreloader.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 41
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\FusionAddressables\NetworkAddressablePrefabLoadInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\FusionAddressables\NetworkAddressablePrefabLoadInfoFactory.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\FusionAddressables\NetworkPrefabSourceAddressables.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\FusionAddressables\NetworkPrefabSourceFactoryAddressables.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\FusionAddressables\NetworkPrefabSourceUnityAddressable.cs", "C#", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 143
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\FusionCodeGen\Fusion.CodeGen.User.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\FusionCodeGen\Fusion.CodeGen.cs", "C#", 0, 5336, 0, 0, 0, 0, 0, 0, 0, 0, 190, 1288, 6814
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\Fusion\Assemblies\Fusion.Common.xml", "XML", 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 3, 212
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\Fusion\Assemblies\Fusion.Realtime.xml", "XML", 0, 0, 0, 0, 0, 4327, 0, 0, 0, 0, 3, 206, 4536
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\Fusion\Assemblies\Fusion.Runtime.xml", "XML", 0, 0, 0, 0, 0, 9432, 0, 0, 0, 0, 0, 63, 9495
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\Fusion\Assemblies\Fusion.Sockets.xml", "XML", 0, 0, 0, 0, 0, 1205, 0, 0, 0, 0, 1, 15, 1221
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\Fusion\Resources\FusionGraphShader.shader", "ShaderLab", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 165
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\Fusion\Scripts\BurstDeltaCompressor.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\Assets\Photon\Fusion\Scripts\Editor\Fusion.Editor.cs", "C#", 0, 8920, 0, 0, 0, 0, 0, 0, 0, 0, 601, 2511, 12032
