id,imageID,labelID,intensity,node_type,image_type,adjust_error,adjust_time,confirm_error,confirm_time,hand_error,hand_time
0,0,0,37,leaf,human,1.0,4.199839401245117,0.7444492688788102,1.479612159729004,1.0,3.614763069152832
1,0,0,37,leaf,human,1.0,2.8485954284667967,0.9999961853027344,3.0662467956542967,1.0,6.515316772460937
2,0,0,37,leaf,human,1.0,1.7165420532226563,2.23606797749979,1.9694488525390625,1.0,2.1831291198730467
3,0,0,37,leaf,human,1.0,1.699557113647461,1.0,2.1683977127075194,1.0,3.7839324951171873
4,0,0,37,leaf,human,1.0,1.94892578125,1.0,1.649273681640625,1.0,2.885597038269043
5,0,0,37,leaf,human,0.0,2.596060562133789,5.0996688705415,2.299829292297363,0.0,4.302681732177734
6,0,0,37,leaf,human,0.0,2.6056697845458983,1.4142135623730951,1.616436767578125,2.0,5.190514373779297
7,0,0,37,leaf,human,1.0,3.6799877166748045,1.4142135623730951,2.6949508666992186,1.7320508075688772,2.4275577545166014
8,0,0,37,leaf,human,0.0,2.516194152832031,1.28897569432403,1.811608123779297,1.0,1.7153022766113282
9,0,0,37,leaf,human,0.0,1.6828144073486329,4.582574862522163,2.070687103271484,0.0,3.8609855651855467
0,0,1,86,branch,human,1.9073486328125e-06,5.437344360351562,1.9073486328125e-06,1.699272918701172,1.9073486328125e-06,3.7005584716796873
1,0,1,86,branch,human,1.4142135623730951,2.7876708984375,1.0,2.524700927734375,1.4142135623730951,5.610688018798828
2,0,1,86,branch,human,2.23606797749979,4.220455932617187,1.4142135623730951,1.78382568359375,1.0,3.1448638916015623
3,0,1,86,branch,human,2.0,2.0324886322021483,2.8284271247468333,2.731889533996582,2.23606797749979,2.5168731689453123
4,0,1,86,branch,human,1.9073486328125e-06,2.017060089111328,1.9073486328125e-06,1.663811492919922,2.0000000000009095,3.006438064575195
5,0,1,86,branch,human,0.0,4.001815605163574,8.12403840463596,4.7345703125,4.0,3.0494010925292967
6,0,1,86,branch,human,0.0,1.9995010375976563,2.0,2.043099212646484,0.63014581273465,4.045811462402344
7,0,1,86,branch,human,0.0,2.6285446166992186,0.5570404414441441,1.4490707397460938,0.0,1.8165328979492188
8,0,1,86,branch,human,0.0,2.9662521362304686,2.0,3.9834335327148436,1.4142135623730951,4.9043434143066404
9,0,1,86,branch,human,0.0,2.033131408691406,1.4142135623730951,5.380472946166992,1.0,3.21943359375
0,0,2,48,leaf,human,0.0,5.683129119873047,0.0,1.8502357482910157,0.0,1.7341583251953125
1,0,2,48,leaf,human,1.0,2.2481315612792967,0.0,2.0655563354492186,0.0,7.781216430664062
2,0,2,48,leaf,human,1.0,3.514851379394531,0.0,2.049847412109375,1.0,2.1822174072265623
3,0,2,48,leaf,human,0.0,2.2822635650634764,0.0,1.5508621215820313,0.0,2.55006103515625
4,0,2,48,leaf,human,0.0,1.4504249572753907,0.0,4.5859935760498045,0.0,1.5515487670898438
5,0,2,48,leaf,human,0.0,2.599039840698242,0.0,7.933607864379883,1.4142122136745858,6.7822521209716795
6,0,2,48,leaf,human,0.0,1.701082992553711,0.0,1.8836753845214844,1.0,5.223656463623047
7,0,2,48,leaf,human,1.0,2.0563591003417967,1.0,1.7821815490722657,1.0,1.4049575805664063
8,0,2,48,leaf,human,2.23606797749979,4.00086669921875,1.0,4.097176361083984,0.0,5.15784912109375
9,0,2,48,leaf,human,1.0,1.9665077209472657,2.0,2.5940673828125,0.0,3.3502166748046873
0,0,3,64,branch,human,0.0,2.2335556030273436,0.0,2.1821449279785154,0.0,2.23389892578125
1,0,3,64,branch,human,0.0,3.089203643798828,1.0,2.872946548461914,1.4142135623730951,12.049191284179688
2,0,3,64,branch,human,1.0,1.5999267578125,8.602325267042627,1.84833984375,1.0,1.6738861083984375
3,0,3,64,branch,human,0.0,5.458493041992187,0.0,2.384072113037109,0.0,3.901264953613281
4,0,3,64,branch,human,0.0,1.7492111206054688,0.0,1.5982406616210938,0.0,2.543965148925781
5,0,3,64,branch,human,2.0,5.446257400512695,1.0,2.5164154052734373,1.0,3.3318527221679686
6,0,3,64,branch,human,1.0,3.2988250732421873,1.0,1.5398338317871094,1.0,7.282940673828125
7,0,3,64,branch,human,0.10993969982642682,1.3494918823242188,1.0,2.3678253173828123,1.4142135623730951,4.649781036376953
8,0,3,64,branch,human,1.0,3.1325729370117186,1.0,1.9337814331054688,2.449489742783178,1.7332199096679688
9,0,3,64,branch,human,0.0,1.5502059936523438,1.4142135623730951,1.5163124084472657,5.385164807134504,4.499455261230469
0,0,4,34,leaf,human,1.4142135623730951,1.8010757446289063,1.4142135623730951,1.782799530029297,1.4142135623730951,3.952801513671875
1,0,4,34,leaf,human,2.449489742783178,5.742169189453125,1.0,3.80010871887207,2.23606797749979,5.250668334960937
2,0,4,34,leaf,human,1.0,2.9809844970703123,6.480742169959392,1.933758544921875,1.0,1.5334442138671875
3,0,4,34,leaf,human,1.0,3.3572509765625,1.4142135623730951,4.284516143798828,1.0,3.231800842285156
4,0,4,34,leaf,human,1.4142135623730951,1.8999717712402344,1.4142135623730951,1.382775115966797,3.1622776601683795,2.8140533447265623
5,0,4,34,leaf,human,1.0,3.4816940307617186,0.0,4.668404388427734,2.449489742783178,2.8829811096191404
6,0,4,34,leaf,human,0.0,2.0503280639648436,7.280109889280518,2.433125305175781,3.4641016151377544,6.082154083251953
7,0,4,34,leaf,human,1.0,1.4540374755859375,0.012499511756885795,1.6495330810546875,2.2036033111745184,2.0362823486328123
8,0,4,34,leaf,human,2.449489742783178,4.198880004882812,2.23606797749979,2.9486434936523436,1.0,4.065068054199219
9,0,4,34,leaf,human,1.2249730099225609,2.3665016174316404,6.495279431501281,3.447674560546875,2.8284271247461903,2.229840087890625
0,0,5,52,branch,human,1.0,1.6167724609375,1.0,2.615093994140625,1.0,3.7033966064453123
1,0,5,52,branch,human,1.0,1.465813446044922,1.0,1.9830101013183594,1.0,13.613873291015626
2,0,5,52,branch,human,0.0,2.73310546875,0.0,3.64930419921875,0.0,4.650799560546875
3,0,5,52,branch,human,1.0,2.116558837890625,1.4142135623730951,2.131562042236328,1.0,3.702198791503906
4,0,5,52,branch,human,1.0,2.1000335693359373,1.0,1.4309165954589844,1.0,1.9525039672851563
5,0,5,52,branch,human,0.0,5.122521209716797,1.0,4.234898376464844,1.0,2.19520263671875
6,0,5,52,branch,human,1.0,2.398480224609375,1.4142135623730951,2.6157577514648436,0.0,8.46643524169922
7,0,5,52,branch,human,1.4142135623730951,1.533489990234375,1.4142135623730951,3.466595458984375,1.4142135623730951,3.4846160888671873
8,0,5,52,branch,human,1.7320508075688772,1.7338226318359375,1.4142135623730951,2.1319015502929686,1.0,9.40131072998047
9,0,5,52,branch,human,1.0,2.0997283935546873,1.0,2.3667877197265623,1.4142135623730951,5.435032653808594
0,0,6,57,leaf,human,1.4142135623730951,2.066082763671875,2.449489742783178,1.8846633911132813,1.4142135623730951,3.3648193359375
1,0,6,57,leaf,human,1.4142135623730951,1.6505859375,4.058772731852805,4.365052032470703,2.0,9.5684326171875
2,0,6,57,leaf,human,2.23606797749979,1.9905059814453125,5.0990195135927845,2.59998779296875,6.324555320336759,1.49854736328125
3,0,6,57,leaf,human,1.4142135623730951,1.6354721069335938,1.4142135623730951,2.0426986694335936,1.4142135623730951,4.765957641601562
4,0,6,57,leaf,human,1.4142135623730951,3.348805236816406,1.4142135623730951,1.3633010864257813,1.4142135623730951,1.932049560546875
5,0,6,57,leaf,human,2.526911934581186,6.084107208251953,7.645468165329355,4.761536407470703,3.1622776601683795,1.3527572631835938
6,0,6,57,leaf,human,2.23606797749979,4.2154052734375,1.4142135623730951,1.5178802490234375,2.0,8.051541137695313
7,0,6,57,leaf,human,3.1622776601683795,1.3987396240234375,3.1622776601683795,1.5786865234375,1.4142135623730951,3.8814666748046873
8,0,6,57,leaf,human,1.6543835826888262,1.74940185546875,0.6594194335117827,1.766278076171875,1.315856520227193,2.349896240234375
9,0,6,57,leaf,human,1.4142135623730951,2.0321319580078123,1.8688428309166412,1.5333412170410157,2.449489742783178,4.233441162109375
0,0,7,33,branch,human,1.0,1.9836929321289063,1.0,1.96766357421875,1.0,4.462551879882812
1,0,7,33,branch,human,1.0,1.416302490234375,1.0,2.8825424194335936,0.0,4.33515625
2,0,7,33,branch,human,0.0,5.800961303710937,0.0,1.8828857421875,0.0,3.404583740234375
3,0,7,33,branch,human,1.0,3.213753509521484,1.0,3.6165817260742186,1.0,2.981732177734375
4,0,7,33,branch,human,1.0,3.4641349792480467,1.0,1.4001205444335938,1.0,3.232342529296875
5,0,7,33,branch,human,1.0,4.249516296386719,0.0,7.0479591369628904,0.0,1.3305023193359375
6,0,7,33,branch,human,0.0,3.5834930419921873,0.0,2.040699768066406,3.9253064126351944,5.946926879882812
7,0,7,33,branch,human,0.0,1.5846908569335938,0.0,1.4499862670898438,0.0,2.150341796875
8,0,7,33,branch,human,1.0,2.5661895751953123,1.0,2.93372802734375,1.0,3.2313812255859373
9,0,7,33,branch,human,1.0,3.2889068603515623,0.0,2.650189208984375,0.0,4.567807006835937
0,0,8,68,branch,human,1.0,1.666790771484375,1.4142135623730951,1.7824371337890625,1.7804061088286498,2.9632741773971407
1,0,8,68,branch,human,1.0,6.629803466796875,1.4142135623730951,2.93250732421875,0.0,1.815472412109375
2,0,8,68,branch,human,1.0,1.57728271484375,0.0,1.849224853515625,2.0,1.88270263671875
3,0,8,68,branch,human,1.0,1.5378082275390625,1.0,1.4839752197265625,1.0,3.9663970947265623
4,0,8,68,branch,human,1.0,3.2428939819335936,1.0,1.6482513427734375,1.0,4.334538269042969
5,0,8,68,branch,human,1.0,1.4501312255859375,1.0,10.9253662109375,7.515216903668872,13.195584106445313
6,0,8,68,branch,human,1.4142135623730951,2.2670944213867186,0.0,3.1341903686523436,0.0,5.09095458984375
7,0,8,68,branch,human,0.0,1.4507568359375,1.4142135623730951,2.3531768798828123,6.439178080162378,1.8480804443359375
8,0,8,68,branch,human,0.0,1.5507171630859375,0.36103712382777076,3.067242431640625,1.0,2.03358154296875
9,0,8,68,branch,human,1.7320508075688772,3.999127197265625,1.4142135623730951,2.1669586181640623,1.0,2.1232574462890623
0,0,9,198,branch,human,0.0,1.5164688110351563,0.0,1.46522216796875,0.0,3.2993743896484373
1,0,9,198,branch,human,1.0,4.246792602539062,2.206555615733702,2.0828521728515623,1.0,9.016644287109376
2,0,9,198,branch,human,1.0,3.0659912109375,0.0,1.615338134765625,2.23606797749979,1.832012939453125
3,0,9,198,branch,human,0.0,1.58314208984375,1.0,1.798565673828125,2.0,3.21583251953125
4,0,9,198,branch,human,0.0,2.4329193115234373,2.0,3.078755187988281,0.0,2.9994552612304686
5,0,9,198,branch,human,0.0,4.462239074707031,3.3166247903554,2.325825500488281,1.0,4.284878540039062
6,0,9,198,branch,human,1.0,3.3328216552734373,1.0,4.731587219238281,1.0,4.683880615234375
7,0,9,198,branch,human,1.0,2.1316650390625,1.0,2.4671295166015623,1.0,1.999615478515625
8,0,9,198,branch,human,1.0,4.216305541992187,2.0,1.9321563720703125,4.123105625617661,6.429852294921875
9,0,9,198,branch,human,1.0,1.8510711669921875,3.3166247903554,2.082928466796875,1.0,7.791851806640625
0,1,10,51,leaf,human,1.2406879706940823,1.317181396484375,2.1112260396804983,1.3149765014648438,1.1473474844178637,1.699017333984375
1,1,10,51,leaf,human,1.2406879706940823,2.6672637939453123,1.2406879706940823,3.8330352783203123,0.734375,10.000927734375
2,1,10,51,leaf,human,1.5219744577357401,1.3809173583984375,2.1305648642144175,1.68555908203125,1.2406879706940823,4.23597412109375
3,1,10,51,leaf,human,1.2406879706940823,1.850323486328125,2.1112260396804983,2.050667572021484,1.2406879706940823,3.715313720703125
4,1,10,51,leaf,human,1.1473474844178637,1.3017929077148438,1.2406879706940823,1.8814132690429688,1.2406879706940823,2.032612609863281
5,1,10,51,leaf,human,1.2406879706940823,6.11622314453125,2.3057333432120894,3.5572784423828123,1.1473474844178637,10.670590209960938
6,1,10,51,leaf,human,1.593520204021587,1.505322265625,6.71389723004642,1.8821990966796875,1.1473474844178637,3.946209716796875
7,1,10,51,leaf,human,0.5625,5.279278564453125,2.1112260396804983,1.8835952758789063,2.9081395067336437,3.36500244140625
8,1,10,51,leaf,human,2.7143526804192604,2.75001220703125,1.2406879706940823,3.1488616943359373,2.9081395067336437,5.8538330078125
9,1,10,51,leaf,human,1.2406879706940823,2.533306884765625,1.2406879706940823,1.9348800659179688,1.2406879706940823,5.805889892578125
0,1,11,44,branch,human,5.95525716410509,1.36719970703125,5.157291561469062,1.8491943359375,2.1830311495716224,1.34962158203125
1,1,11,44,branch,human,0.015625,2.278851318359375,3.605585131518184,3.4161346435546873,2.236122568336763,2.1665771484375
2,1,11,44,branch,human,1.414299876484828,1.867474365234375,2.000061034224956,1.999798583984375,1.0001220628628287,1.80006103515625
3,1,11,44,branch,human,2.6370630562237225,2.632374572753906,6.212701203985268,1.865185546875,0.421875,6.268002319335937
4,1,11,44,branch,human,4.134488377130235,1.8500946044921875,4.134488377130235,2.248699951171875,2.9160801298045946,2.7461822509765623
5,1,11,44,branch,human,1.0001220628628287,5.088055419921875,1.3125,3.972943115234375,0.015625,2.047406005859375
6,1,11,44,branch,human,0.015625,2.9330718994140623,3.7007046354946285,2.6113133566720155,1.414299876484828,2.147259521484375
7,1,11,44,branch,human,0.015625,4.1017578125,0.015625,2.6194503784179686,2.236122568336763,3.467877197265625
8,1,11,44,branch,human,0.008007011097163286,1.5673492431640625,0.015625,1.3318603515625,2.39220740112558,3.317547607421875
9,1,11,44,branch,human,2.236122568336763,2.95472412109375,2.000061034224956,3.6780136108398436,0.015625,4.645977783203125
0,1,12,158,branch,human,1.4671700278512372,2.2100799560546873,1.4671700278512372,2.1669967651367186,1.4671700278512372,1.433392333984375
1,1,12,158,branch,human,1.0476909133900132,5.0667236328125,1.0476909133900132,4.898114013671875,1.0476909133900132,7.90565185546875
2,1,12,158,branch,human,0.3125,2.266949462890625,2.0242668425877057,2.577618408203125,1.0476909133900132,2.68348388671875
3,1,12,158,branch,human,1.4671700278512372,4.86683349609375,1.4671700278512372,1.56824951171875,1.4671700278512372,4.618099975585937
4,1,12,158,branch,human,1.4671700278512372,2.584065246582031,1.4671700278512372,1.8320892333984375,1.4671700278512372,1.9519927978515625
5,1,12,158,branch,human,1.0476909133900132,5.032421875,1.0476909133900132,3.9599884033203123,9.80733592218728,7.808499145507812
6,1,12,158,branch,human,1.0476909133900132,1.9971893310546875,2.4709296413226696,1.6628387451171875,1.0476909133900132,1.7481201171875
7,1,12,158,branch,human,0.3125,1.8500640869140625,2.490803396998647,3.0143707275390623,2.142449040379957,2.4157073974609373
8,1,12,158,branch,human,0.3134167858775925,1.8171661376953125,1.0476909133900132,2.6380279541015623,5.783276671792557,4.50098876953125
9,1,12,158,branch,human,1.609375,2.760479736328125,0.7831470496332145,2.1931808471679686,0.3125,1.70814208984375
